Player,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,CD/Min,Captures/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min
Able,8.0,2,0,6,36,6,6,18,21,115,2,14,64,0,24,246,3.5,14.29,0.0,0,3,0,6.0,6.39,0.47,0,1,1,1,0,5,0,5,16.67,100.0,27.78,27.78,0.25,0.0,0.75,4.5,0.75,0.75,2.25,2.62,14.38,0.25
Ace93,8.2,1,0,8,91,8,9,9,12,34,3,16,70,0,28,309,1.33,18.75,0.0,1,3,0,11.38,3.78,0.11,1,0,0,0,0,1,0,2,0.0,0.0,11.11,22.22,0.12,0.0,0.98,11.1,0.98,1.1,1.1,1.46,4.15,0.37
Acuraun,137.4,-24,6,174,1319,167,203,173,215,822,53,247,1364,93,554,5312,1.06,21.46,3.45,36,42,1,7.58,4.75,0.15,15,42,24,10,1,54,6,68,24.14,41.67,31.21,39.31,-0.17,0.04,1.27,9.6,1.22,1.48,1.26,1.56,5.98,0.39
Adamn,15.6,7,0,18,130,18,19,21,21,180,4,28,185,8,73,478,1.11,14.29,0.0,1,0,0,7.22,8.57,0.38,1,3,2,0,0,8,2,11,16.67,0.0,38.1,52.38,0.45,0.0,1.15,8.33,1.15,1.22,1.35,1.35,11.54,0.26
adawg,143.7,-11,11,155,926,144,176,161,183,1092,29,261,1497,135,609,4897,1.04,11.11,7.1,32,22,0,5.97,6.78,0.22,7,38,13,3,0,38,7,42,24.52,23.08,23.6,26.09,-0.08,0.08,1.08,6.44,1.0,1.22,1.12,1.27,7.6,0.2
aeps002,21.4,-7,1,12,75,11,29,34,37,253,0,38,141,70,68,748,1.28,0.0,8.33,18,3,0,6.25,7.44,0.34,0,3,2,0,1,12,2,12,25.0,0.0,35.29,35.29,-0.33,0.05,0.56,3.5,0.51,1.36,1.59,1.73,11.82,0.0
AJ.,46.7,8,14,77,461,63,83,58,65,278,16,82,562,15,227,1346,0.78,19.51,18.18,20,7,0,5.99,4.79,0.21,3,19,9,3,3,21,7,25,24.68,33.33,36.21,43.1,0.17,0.3,1.65,9.87,1.35,1.78,1.24,1.39,5.95,0.34
ALCAEUS,14.6,5,2,24,200,20,28,9,13,16,5,26,141,20,60,491,0.46,19.23,8.33,8,4,2,8.33,1.78,0.03,3,9,3,0,0,2,1,1,37.5,0.0,22.22,11.11,0.34,0.14,1.64,13.7,1.37,1.92,0.62,0.89,1.1,0.34
alchemist,113.4,20,16,111,981,95,116,149,168,1096,29,207,1099,80,444,3871,1.45,14.01,14.41,21,19,0,8.84,7.36,0.28,12,23,12,7,0,59,9,64,20.72,58.33,39.6,42.95,0.18,0.14,0.98,8.65,0.84,1.02,1.31,1.48,9.66,0.26
AmishVacuum,25.0,-2,3,38,368,35,39,18,30,35,7,42,342,15,139,1057,0.77,16.67,7.89,4,12,0,9.68,1.94,0.03,4,9,3,1,1,2,0,4,23.68,33.33,11.11,22.22,-0.08,0.12,1.52,14.72,1.4,1.56,0.72,1.2,1.4,0.28
an,119.9,-10,16,205,1165,188,228,131,145,563,15,213,1572,90,640,4272,0.64,7.04,7.8,40,14,1,5.68,4.3,0.13,7,69,31,6,3,36,5,46,33.66,19.35,27.48,35.11,-0.08,0.13,1.71,9.72,1.57,1.9,1.09,1.21,4.7,0.13
anduin,279.6,-26,25,297,1472,270,367,326,398,2706,50,504,2791,271,1147,9034,1.08,9.92,8.42,97,72,2,4.96,8.3,0.3,5,100,36,12,1,109,15,135,33.67,33.33,33.44,41.41,-0.09,0.09,1.06,5.26,0.97,1.31,1.17,1.42,9.68,0.18
ANDYKANSAS,192.8,-16,18,241,1820,220,284,200,240,1064,51,335,1784,244,745,7798,0.85,15.22,7.47,64,40,3,7.55,5.32,0.14,15,57,23,9,3,58,8,67,23.65,39.13,29.0,33.5,-0.08,0.09,1.25,9.44,1.14,1.47,1.04,1.24,5.52,0.26
Ann with a E,40.0,12,5,42,247,34,49,55,67,345,14,70,344,55,146,1422,1.37,20.0,11.9,15,12,3,5.88,6.27,0.24,1,10,3,1,0,20,5,18,23.81,33.33,36.36,32.73,0.3,0.12,1.05,6.18,0.85,1.23,1.38,1.68,8.62,0.35
anti-re,132.8,18,16,169,1200,152,196,132,169,725,41,231,1520,95,617,4432,0.86,17.75,9.47,44,37,1,7.1,5.49,0.16,11,43,24,11,2,37,6,47,25.44,45.83,28.03,35.61,0.14,0.12,1.27,9.04,1.14,1.48,0.99,1.27,5.46,0.31
Anti_Social,0.9,1,0,0,0,0,0,0,0,24,0,0,10,0,4,19,0.0,0.0,0.0,0,0,0,0.0,0.0,1.26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,0.0
Armbranch,157.1,16,12,169,1255,157,209,222,293,1242,62,282,1442,137,591,5326,1.4,21.99,7.1,52,71,0,7.43,5.59,0.23,12,39,12,4,1,75,22,88,23.08,33.33,33.78,39.64,0.1,0.08,1.08,7.99,1.0,1.33,1.41,1.87,7.91,0.39
ARoseOTGrey,30.3,11,7,48,342,40,45,36,43,76,2,54,338,125,155,1293,0.96,3.7,14.58,5,7,1,7.12,2.11,0.06,1,8,4,3,0,11,3,10,16.67,75.0,30.56,27.78,0.36,0.23,1.58,11.29,1.32,1.49,1.19,1.42,2.51,0.07
asap,48.0,9,6,64,640,58,71,97,114,374,9,83,574,40,232,1723,1.61,10.84,9.38,13,17,0,10.0,3.86,0.22,11,18,5,1,1,28,7,32,28.12,20.0,28.87,32.99,0.19,0.12,1.33,13.33,1.21,1.48,2.02,2.38,7.79,0.19
Atticus,33.6,-3,7,63,380,56,79,33,44,92,7,65,349,65,151,1265,0.56,10.77,11.11,23,11,0,6.03,2.79,0.07,2,16,7,3,0,5,1,7,25.4,42.86,15.15,21.21,-0.09,0.21,1.88,11.31,1.67,2.35,0.98,1.31,2.74,0.21
AVP,177.6,-30,16,259,1545,240,322,139,159,434,29,313,1963,80,784,6631,0.49,9.27,6.18,82,20,3,5.97,3.12,0.07,6,68,34,16,0,26,4,42,26.25,47.06,18.71,30.22,-0.17,0.09,1.46,8.7,1.35,1.81,0.78,0.9,2.44,0.16
BaII,427.4,33,56,563,4011,503,646,537,651,2000,78,765,4759,450,1954,15992,1.01,10.2,9.95,143,114,4,7.12,3.72,0.13,28,137,68,27,3,112,30,143,24.33,39.71,20.86,26.63,0.08,0.13,1.32,9.38,1.18,1.51,1.26,1.52,4.68,0.18
Ball Coffey,1.8,-1,0,4,14,4,4,0,0,2,0,4,25,0,10,79,0.0,0.0,0.0,0,0,0,3.5,0.0,0.03,0,3,1,1,0,0,0,0,75.0,100.0,0.0,0.0,-0.56,0.0,2.22,7.78,2.22,2.22,0.0,0.0,1.11,0.0
BallAnka,99.5,2,11,152,832,141,161,82,115,265,22,186,1229,25,487,2977,0.71,11.83,7.24,20,33,0,5.47,3.23,0.09,7,46,17,4,0,13,5,19,30.26,23.53,15.85,23.17,0.02,0.11,1.53,8.36,1.42,1.62,0.82,1.16,2.66,0.22
Ballb Ross,2.4,-1,1,4,40,3,3,3,3,14,1,4,25,0,10,87,1.0,25.0,25.0,0,0,0,10.0,4.67,0.16,1,0,1,0,0,2,0,3,0.0,0.0,66.67,100.0,-0.42,0.42,1.67,16.67,1.25,1.25,1.25,1.25,5.83,0.42
BALLDON'TLIE,190.9,-28,13,181,1098,167,202,305,361,2187,60,342,1613,205,665,5621,1.79,17.54,7.18,35,56,1,6.07,7.17,0.39,8,45,22,5,1,123,12,154,24.86,22.73,40.33,50.49,-0.15,0.07,0.95,5.75,0.87,1.06,1.6,1.89,11.46,0.31
ballparts,43.9,4,2,32,183,29,47,59,71,634,10,78,488,35,199,1406,1.51,12.82,6.25,18,12,1,5.72,10.75,0.45,2,10,4,1,0,35,3,37,31.25,25.0,59.32,62.71,0.09,0.05,0.73,4.17,0.66,1.07,1.34,1.62,14.44,0.23
BallsToYou.,548.7,-31,112,1020,6263,901,1082,488,598,1462,119,994,6516,360,2634,18412,0.55,11.97,10.98,181,110,7,6.14,3.0,0.08,42,295,100,35,7,114,20,149,28.92,35.0,23.36,30.53,-0.06,0.2,1.86,11.41,1.64,1.97,0.89,1.09,2.66,0.22
Ballzilla,263.1,-9,24,350,1916,326,420,339,417,1941,42,472,2724,337,1127,8174,0.99,8.9,6.86,94,78,0,5.47,5.73,0.24,15,113,35,15,3,106,22,137,32.29,42.86,31.27,40.41,-0.03,0.09,1.33,7.28,1.24,1.6,1.29,1.58,7.38,0.16
Bamboozler,42.1,0,4,57,335,52,63,52,56,231,7,74,484,15,191,1461,0.89,9.46,7.02,11,4,1,5.88,4.44,0.16,3,19,5,1,0,12,3,18,33.33,20.0,23.08,34.62,0.0,0.1,1.35,7.96,1.24,1.5,1.24,1.33,5.49,0.17
BasedBall,8.0,2,0,4,86,4,8,10,13,60,1,14,28,5,11,349,1.62,7.14,0.0,4,3,0,21.5,6.0,0.17,1,0,0,0,0,3,2,3,0.0,0.0,30.0,30.0,0.25,0.0,0.5,10.75,0.5,1.0,1.25,1.62,7.5,0.12
Batman.,55.5,12,4,50,587,45,53,95,117,469,18,96,412,50,174,1988,2.21,18.75,8.0,8,22,1,11.74,4.94,0.24,8,5,2,0,0,34,4,48,10.0,0.0,35.79,50.53,0.22,0.07,0.9,10.58,0.81,0.95,1.71,2.11,8.45,0.32
bbb,7.6,5,2,12,86,10,10,13,16,22,4,14,92,0,36,258,1.6,28.57,16.67,0,3,0,7.17,1.69,0.09,0,2,2,2,0,3,1,3,16.67,100.0,23.08,23.08,0.66,0.26,1.58,11.32,1.32,1.32,1.71,2.11,2.89,0.53
Beach,26.0,4,3,29,233,26,33,27,33,325,4,48,242,30,98,912,1.0,8.33,10.34,7,6,0,8.03,12.04,0.36,3,9,2,1,0,6,0,9,31.03,50.0,22.22,33.33,0.15,0.12,1.12,8.96,1.0,1.27,1.04,1.27,12.5,0.15
beef,22.7,5,2,31,321,29,37,34,38,62,5,45,266,5,105,1020,1.03,11.11,6.45,8,4,0,10.35,1.82,0.06,4,7,2,0,0,11,4,13,22.58,0.0,32.35,38.24,0.22,0.09,1.37,14.14,1.28,1.63,1.5,1.67,2.73,0.22
Belacqua,22.0,1,3,30,211,25,31,28,33,122,13,38,245,15,99,833,1.06,34.21,10.0,6,5,2,7.03,4.36,0.15,2,7,5,2,0,9,2,14,23.33,40.0,32.14,50.0,0.05,0.14,1.36,9.59,1.14,1.41,1.27,1.5,5.55,0.59
Believeland,8.9,-1,1,13,155,12,14,10,11,18,1,14,106,15,45,410,0.79,7.14,7.69,2,1,0,11.92,1.8,0.04,2,1,0,0,0,2,0,4,7.69,0.0,20.0,40.0,-0.11,0.11,1.46,17.42,1.35,1.57,1.12,1.24,2.02,0.11
BENOlT,8.0,2,4,15,77,11,15,3,6,21,2,14,83,15,35,316,0.4,14.29,26.67,4,3,0,5.13,7.0,0.07,0,4,1,0,0,0,0,0,26.67,0.0,0.0,0.0,0.25,0.5,1.88,9.62,1.38,1.88,0.38,0.75,2.62,0.25
BertaLovejoy,39.9,7,5,70,441,65,82,26,42,57,15,79,371,33,154,1638,0.51,18.99,7.14,17,16,0,6.3,2.19,0.03,1,19,9,6,0,6,1,8,27.14,66.67,23.08,30.77,0.18,0.13,1.75,11.05,1.63,2.06,0.65,1.05,1.43,0.38
Better Mamba,68.6,-10,6,65,398,59,89,99,117,706,19,120,720,95,299,2283,1.31,15.83,9.23,30,18,0,6.12,7.13,0.31,3,18,7,3,0,43,5,44,27.69,42.86,43.43,44.44,-0.15,0.09,0.95,5.8,0.86,1.3,1.44,1.71,10.29,0.28
Bidet->Wipe,14.3,8,1,21,143,20,23,22,34,38,5,26,130,35,59,640,1.48,19.23,4.76,3,12,0,6.81,1.73,0.06,0,3,3,2,0,7,2,8,14.29,66.67,31.82,36.36,0.56,0.07,1.47,10.0,1.4,1.61,1.54,2.38,2.66,0.35
bitter heart,467.8,38,35,391,2442,352,531,849,1006,5547,125,860,3629,513,1514,13564,1.89,14.53,8.95,179,157,4,6.25,6.53,0.41,12,102,39,11,4,309,36,394,26.09,28.21,36.4,46.41,0.08,0.07,0.84,5.22,0.75,1.14,1.81,2.15,11.86,0.27
Black Mamba,16.3,-5,3,34,185,31,37,11,14,34,4,28,235,20,96,671,0.38,14.29,8.82,6,3,0,5.44,3.09,0.05,1,12,6,1,0,2,0,2,35.29,16.67,18.18,18.18,-0.31,0.18,2.09,11.35,1.9,2.27,0.67,0.86,2.09,0.25
BO777,6.8,-5,1,11,64,10,12,6,6,57,1,12,63,0,24,229,0.5,8.33,9.09,2,0,0,5.82,9.5,0.25,1,3,1,0,0,0,0,1,27.27,0.0,0.0,16.67,-0.74,0.15,1.62,9.41,1.47,1.76,0.88,0.88,8.38,0.15
Boat,26.4,7,3,39,383,35,39,36,40,191,5,47,280,40,118,900,1.03,10.64,7.69,4,4,1,9.82,5.31,0.21,8,4,3,1,0,8,2,11,10.26,33.33,22.22,30.56,0.27,0.11,1.48,14.51,1.33,1.48,1.36,1.52,7.23,0.19
Bob theBall,2.2,-5,0,3,5,3,6,2,2,22,0,4,25,0,10,87,0.33,0.0,0.0,3,0,0,1.67,11.0,0.25,0,2,0,0,0,2,0,2,66.67,0.0,100.0,100.0,-2.27,0.0,1.36,2.27,1.36,2.73,0.91,0.91,10.0,0.0
bones,33.1,-5,2,22,95,20,35,40,45,598,5,63,277,5,109,874,1.29,7.94,9.09,15,5,0,4.32,14.95,0.68,1,12,5,2,0,17,2,21,54.55,40.0,42.5,52.5,-0.15,0.06,0.66,2.87,0.6,1.06,1.21,1.36,18.07,0.15
boogie,184.5,6,25,243,1659,215,283,178,213,995,25,324,2044,223,844,6280,0.75,7.72,10.29,68,35,3,6.83,5.59,0.16,13,74,34,11,3,43,8,56,30.45,32.35,24.16,31.46,0.03,0.14,1.32,8.99,1.17,1.53,0.96,1.15,5.39,0.14
Borgus,101.5,-20,15,134,885,118,143,111,123,745,13,180,1028,40,408,3235,0.86,7.22,11.19,25,12,1,6.6,6.71,0.23,6,42,10,4,2,36,8,40,31.34,40.0,32.43,36.04,-0.2,0.15,1.32,8.72,1.16,1.41,1.09,1.21,7.34,0.13
Bow Down,176.6,-7,24,228,1835,204,254,195,254,709,54,313,1641,259,693,6768,1.0,17.25,10.53,50,59,0,8.05,3.64,0.1,20,49,21,6,2,48,9,58,21.49,28.57,24.62,29.74,-0.04,0.14,1.29,10.39,1.16,1.44,1.1,1.44,4.01,0.31
bronny james,209.4,-9,19,328,1858,305,369,201,224,804,42,377,2532,110,1012,6982,0.61,11.14,5.79,64,23,4,5.66,4.0,0.12,7,104,30,7,0,48,11,65,31.71,23.33,23.88,32.34,-0.04,0.09,1.57,8.87,1.46,1.76,0.96,1.07,3.84,0.2
broseph,276.7,-5,33,383,2469,348,409,282,335,1066,63,495,3245,263,1320,10029,0.82,12.73,8.62,61,53,2,6.45,3.78,0.11,21,96,28,10,0,73,14,97,25.07,35.71,25.89,34.4,-0.02,0.12,1.38,8.92,1.26,1.48,1.02,1.21,3.85,0.23
bubblez,719.2,-37,97,1072,6713,967,1156,660,851,4274,185,1292,8259,718,3377,24106,0.74,14.32,9.05,189,191,8,6.26,6.48,0.18,43,295,93,27,8,242,32,276,27.52,29.03,36.67,41.82,-0.05,0.13,1.49,9.33,1.34,1.61,0.92,1.18,5.94,0.26
BUTT,124.1,6,17,202,1913,183,219,101,113,405,26,222,1263,55,505,4994,0.52,11.71,8.42,36,12,2,9.47,4.01,0.08,27,30,16,6,1,19,5,23,14.85,37.5,18.81,22.77,0.05,0.14,1.63,15.41,1.47,1.76,0.81,0.91,3.26,0.21
Butter,150.8,-6,9,153,995,144,192,224,270,1558,44,265,1490,123,606,4586,1.41,16.6,5.88,48,46,0,6.5,6.96,0.34,8,46,20,5,0,88,12,106,30.07,25.0,39.29,47.32,-0.04,0.06,1.01,6.6,0.95,1.27,1.49,1.79,10.33,0.29
Button,50.7,-2,6,53,375,46,67,89,108,495,17,97,504,45,207,1561,1.61,17.53,11.32,21,19,1,7.08,5.56,0.32,6,14,7,2,0,28,5,39,26.42,28.57,31.46,43.82,-0.04,0.12,1.05,7.4,0.91,1.32,1.76,2.13,9.76,0.34
C-3P0,116.8,8,22,213,1528,189,210,130,156,477,20,206,1349,89,547,4232,0.74,9.71,10.33,21,26,2,7.17,3.67,0.11,12,54,21,7,2,35,5,40,25.35,33.33,26.92,30.77,0.07,0.19,1.82,13.08,1.62,1.8,1.11,1.34,4.08,0.17
cannibal,8.9,-1,2,8,51,6,9,9,9,66,1,18,71,10,30,393,1.0,5.56,25.0,3,0,0,6.38,7.33,0.17,0,3,0,0,0,3,0,4,37.5,0.0,33.33,44.44,-0.11,0.22,0.9,5.73,0.67,1.01,1.01,1.01,7.42,0.11
cantab,125.4,-1,24,235,1440,209,250,120,126,340,13,224,1561,95,633,4611,0.5,5.8,10.21,41,6,2,6.13,2.83,0.07,4,59,23,14,4,31,5,38,25.11,60.87,25.83,31.67,-0.01,0.19,1.87,11.48,1.67,1.99,0.96,1.0,2.71,0.1
cantstop,84.8,-5,14,119,946,101,122,91,108,530,11,157,780,93,326,2637,0.89,7.01,11.76,21,17,4,7.95,5.82,0.2,9,26,6,4,1,33,3,38,21.85,66.67,36.26,41.76,-0.06,0.17,1.4,11.16,1.19,1.44,1.07,1.27,6.25,0.13
CappinFalcon,11.7,0,3,15,91,12,14,15,15,182,0,24,80,0,32,375,1.07,0.0,20.0,2,0,0,6.07,12.13,0.49,0,3,3,1,0,6,1,6,20.0,33.33,40.0,40.0,0.0,0.26,1.28,7.78,1.03,1.2,1.28,1.28,15.56,0.0
CBad,32.2,5,4,40,350,36,46,23,27,157,5,56,278,35,117,1177,0.59,8.93,10.0,10,4,0,8.75,6.83,0.13,4,9,2,2,1,3,2,6,22.5,100.0,13.04,26.09,0.16,0.12,1.24,10.87,1.12,1.43,0.71,0.84,4.88,0.16
cereballsy,15.700000000000001,1,3,21,152,18,26,17,17,64,1,26,126,40,56,547,0.65,3.85,14.29,8,0,0,7.24,3.76,0.12,2,5,2,0,0,4,0,6,23.81,0.0,23.53,35.29,0.06,0.19,1.34,9.68,1.15,1.66,1.08,1.08,4.08,0.06
Ceremony,49.3,3,14,73,461,59,70,30,51,146,11,89,481,33,194,1586,0.73,12.36,19.18,11,21,0,6.32,4.87,0.09,1,15,5,0,3,9,3,7,20.55,0.0,30.0,23.33,0.06,0.28,1.48,9.35,1.2,1.42,0.61,1.03,2.96,0.22
chaiwala,58.8,11,4,58,415,52,73,68,82,306,10,106,627,78,259,2507,1.12,9.43,6.9,21,14,2,7.16,4.5,0.12,5,16,10,5,1,10,2,16,27.59,50.0,14.71,23.53,0.19,0.07,0.99,7.06,0.88,1.24,1.16,1.39,5.2,0.17
Champagne,146.5,-30,14,174,1064,160,224,185,202,1148,18,269,1471,148,603,4871,0.9,6.69,8.05,64,17,0,6.11,6.21,0.24,6,50,16,6,2,55,6,72,28.74,37.5,29.73,38.92,-0.2,0.1,1.19,7.26,1.09,1.53,1.26,1.38,7.84,0.12
cherryrammer,149.6,9,3,60,437,56,108,295,367,1700,60,269,850,175,365,5104,3.4,22.3,5.0,52,72,1,7.28,5.76,0.33,7,16,6,4,0,115,9,134,26.67,66.67,38.98,45.42,0.06,0.02,0.4,2.92,0.37,0.72,1.97,2.45,11.36,0.4
choder,0.4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,35,0.0,0.0,0.0,0,0,0,0.0,0.0,0.11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Chritt,271.2,-1,28,347,1833,317,419,336,386,1936,33,488,3292,424,1378,8314,0.92,6.76,8.07,102,50,2,5.28,5.76,0.23,7,119,47,14,3,110,17,132,34.29,29.79,32.74,39.29,-0.0,0.1,1.28,6.76,1.17,1.54,1.24,1.42,7.14,0.12
clew3,62.1,-9,4,69,380,65,99,77,97,564,15,110,620,30,248,1800,0.98,13.64,5.8,34,20,0,5.51,7.32,0.31,5,25,8,3,0,34,4,36,36.23,37.5,44.16,46.75,-0.14,0.06,1.11,6.12,1.05,1.59,1.24,1.56,9.08,0.24
CoffeeSnoot,24.3,-1,2,36,462,33,35,27,32,40,6,44,275,35,115,1139,0.91,13.64,5.56,2,5,1,12.83,1.48,0.04,7,2,2,1,0,6,0,8,5.56,50.0,22.22,29.63,-0.04,0.08,1.48,19.01,1.36,1.44,1.11,1.32,1.65,0.25
Color Blind,321.1,-17,23,429,2857,398,517,348,413,1692,58,566,3262,693,1420,13076,0.8,10.25,5.36,119,65,8,6.66,4.86,0.13,22,119,54,25,0,90,20,111,27.74,46.3,25.86,31.9,-0.05,0.07,1.34,8.9,1.24,1.61,1.08,1.29,5.27,0.18
Comakip,8.0,1,1,11,101,10,13,7,11,26,1,21,106,0,42,236,0.85,4.76,9.09,3,4,0,9.18,3.71,0.11,1,2,1,1,0,2,1,2,18.18,100.0,28.57,28.57,0.12,0.12,1.38,12.62,1.25,1.62,0.88,1.38,3.25,0.12
CoolHandJuke,68.5,11,15,126,810,110,119,82,100,279,16,115,781,90,324,2459,0.84,13.91,11.9,9,18,1,6.43,3.4,0.11,6,26,12,5,1,23,4,29,20.63,41.67,28.05,35.37,0.16,0.22,1.84,11.82,1.61,1.74,1.2,1.46,4.07,0.23
coos :),16.0,-4,0,15,51,15,25,18,18,69,0,28,208,35,89,625,0.72,0.0,0.0,10,0,0,3.4,3.83,0.11,0,7,2,0,0,2,1,4,46.67,0.0,11.11,22.22,-0.25,0.0,0.94,3.19,0.94,1.56,1.12,1.12,4.31,0.0
CreedBratton,81.3,-10,7,70,379,62,79,101,116,752,15,143,727,35,291,2715,1.47,10.49,10.0,17,15,1,5.41,7.45,0.28,1,21,11,4,2,36,5,38,30.0,36.36,35.64,37.62,-0.12,0.09,0.86,4.66,0.76,0.97,1.24,1.43,9.25,0.18
Crees,8.0,-2,0,12,83,12,12,11,12,65,1,14,130,25,57,275,1.0,7.14,0.0,0,1,0,6.92,5.91,0.24,0,3,0,0,0,4,1,3,25.0,0.0,36.36,27.27,-0.25,0.0,1.5,10.38,1.5,1.5,1.38,1.5,8.12,0.12
Crippy,208.9,11,27,347,2050,320,376,268,326,1097,48,371,2627,155,1061,6695,0.87,12.94,7.78,56,58,0,5.91,4.09,0.16,19,106,40,16,4,72,11,92,30.55,40.0,26.87,34.33,0.05,0.13,1.66,9.81,1.53,1.8,1.28,1.56,5.25,0.23
