Player,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,CD/Min,Captures/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min
Sanik,46.1,-4,3,62,231,59,74,45,59,370,6,86,435,73,182,1423,0.8,6.98,4.84,15,14,0,3.73,8.22,0.26,0,28,9,3,0,12,1,14,45.16,33.33,26.67,31.11,-0.09,0.07,1.34,5.01,1.28,1.61,0.98,1.28,8.03,0.13
Schweddys,54.4,-8,6,87,654,80,100,60,70,84,21,95,572,50,232,2217,0.7,22.11,6.9,20,10,1,7.52,1.4,0.04,9,26,10,4,0,11,3,14,29.89,40.0,18.33,23.33,-0.15,0.11,1.6,12.02,1.47,1.84,1.1,1.29,1.54,0.39
Sgt Ducky,69.1,-3,5,83,605,78,98,82,83,636,11,124,675,30,272,2545,0.85,8.87,6.02,20,1,0,7.29,7.76,0.25,11,23,7,2,0,30,5,36,27.71,28.57,36.59,43.9,-0.04,0.07,1.2,8.76,1.13,1.42,1.19,1.2,9.2,0.16
ShadoWolves,11.1,1,2,14,122,11,12,12,13,34,2,19,100,53,50,437,1.08,10.53,14.29,1,1,1,8.71,2.83,0.08,1,1,1,0,0,3,0,3,7.14,0.0,25.0,25.0,0.09,0.18,1.26,10.99,0.99,1.08,1.08,1.17,3.06,0.18
shirt,8.0,1,0,9,88,9,12,6,7,15,3,14,80,5,33,338,0.58,21.43,0.0,3,1,0,9.78,2.5,0.04,2,4,2,1,0,0,0,1,44.44,50.0,0.0,16.67,0.12,0.0,1.12,11.0,1.12,1.5,0.75,0.88,1.88,0.38
Shit,15.6,-4,2,25,152,23,25,16,19,110,4,28,171,18,71,538,0.76,14.29,8.0,2,3,0,6.08,6.88,0.2,0,8,6,0,0,4,1,3,32.0,0.0,25.0,18.75,-0.26,0.13,1.6,9.74,1.47,1.6,1.03,1.22,7.05,0.26
sholmes,68.0,-8,9,97,741,87,108,92,101,436,11,122,689,35,275,2690,0.94,9.02,9.28,21,9,1,7.64,4.74,0.16,7,21,10,7,1,29,4,34,21.65,70.0,31.52,36.96,-0.12,0.13,1.43,10.9,1.28,1.59,1.35,1.49,6.41,0.16
Sick Fuck,42.3,-3,1,60,449,57,73,36,45,233,9,82,500,62,206,1584,0.62,10.98,1.67,16,9,2,7.48,6.47,0.15,4,16,9,4,0,11,2,15,26.67,44.44,30.56,41.67,-0.07,0.02,1.42,10.61,1.35,1.73,0.85,1.06,5.51,0.21
sicky,71.2,16,8,83,774,74,102,78,105,226,16,128,755,123,322,2837,1.03,12.5,9.64,28,27,1,9.33,2.9,0.08,9,15,9,4,3,20,6,25,18.07,44.44,25.64,32.05,0.22,0.11,1.17,10.87,1.04,1.43,1.1,1.47,3.17,0.22
sieh,268.6,-27,19,381,1594,359,525,235,263,1488,42,513,3138,125,1247,8521,0.5,8.19,4.99,166,28,3,4.18,6.33,0.17,2,151,51,21,2,77,9,87,39.63,41.18,32.77,37.02,-0.1,0.07,1.42,5.93,1.34,1.95,0.87,0.98,5.54,0.16
SIGKILL,16.1,4,3,24,226,21,21,7,8,9,3,26,176,0,70,598,0.38,11.54,12.5,0,1,0,9.42,1.29,0.02,3,4,1,1,1,0,0,0,16.67,100.0,0.0,0.0,0.25,0.19,1.49,14.04,1.3,1.3,0.43,0.5,0.56,0.19
Signus-X,35.5,-5,0,30,167,28,48,43,67,158,9,64,289,5,113,1473,1.4,14.06,0.0,20,24,2,5.57,3.67,0.11,1,9,5,1,0,12,0,12,30.0,20.0,27.91,27.91,-0.14,0.0,0.85,4.7,0.79,1.35,1.21,1.89,4.45,0.25
SilentOne,17.7,6,1,32,334,30,33,16,26,25,6,32,155,10,64,722,0.79,18.75,3.12,3,10,1,10.44,1.56,0.03,7,8,2,1,0,5,3,4,25.0,50.0,31.25,25.0,0.34,0.06,1.81,18.87,1.69,1.86,0.9,1.47,1.41,0.34
sinagot,121.1,4,11,129,791,117,160,119,133,578,20,224,1042,105,425,4847,0.83,8.93,8.53,43,14,1,6.13,4.86,0.12,3,34,23,12,0,29,4,36,26.36,52.17,24.37,30.25,0.03,0.09,1.07,6.53,0.97,1.32,0.98,1.1,4.77,0.17
