Time,Event,Player,Team
327.5,Drop Opponent flag,Old Cob,Blue
377.25,Grab Opponent flag,Old Cob,Blue
205.05,Grab Opponent flag,bubblez,Blue
288.45,Grab Opponent flag,bubblez,Blue
310.92,Return,bubblez,Blue
379.45,Grab Opponent flag,bubblez,Blue
380.5,Drop Opponent flag,bubblez,Blue
390.0,Return,bubblez,Blue
450.27,Grab Opponent flag,bubblez,Blue
34.2,Grab Opponent flag,gl hf :),Blue
39.55,Drop Opponent flag,gl hf :),Blue
234.17,Drop Opponent flag,Homie,Blue
70.72,Grab Opponent flag,gl hf :),Blue
102.15,Grab Opponent flag,gl hf :),Blue
143.8,Return,gl hf :),Blue
151.0,Grab Opponent flag,gl hf :),Blue
162.6,Return,gl hf :),Blue
176.98,Grab Opponent flag,gl hf :),Blue
255.53,Grab Opponent flag,Homie,Blue
200.77,Return,gl hf :),Blue
248.47,Grab Opponent flag,gl hf :),Blue
253.82,Drop Opponent flag,gl hf :),Blue
266.77,Grab Opponent flag,gl hf :),Blue
271.8,Drop Opponent flag,gl hf :),Blue
324.17,Grab Opponent flag,gl hf :),Blue
324.55,Drop Opponent flag,gl hf :),Blue
342.77,Grab Opponent flag,gl hf :),Blue
351.5,Drop Opponent flag,gl hf :),Blue
415.75,Return,gl hf :),Blue
445.15,Grab Opponent flag,gl hf :),Blue
449.5,Drop Opponent flag,gl hf :),Blue
460.08,Return,gl hf :),Blue
321.58,Grab Opponent flag,Beach,Red
325.38,Capture Opponent flag,Beach,Red
104.2,Grab Opponent flag,Subglacious,Red
337.25,Return,Beach,Red
351.5,Return,Beach,Red
374.72,Return,Beach,Red
143.57,Grab Opponent flag,Subglacious,Red
301.28,Grab Opponent flag,Homie,Blue
377.57,Return,Beach,Red
175.52,Grab Opponent flag,Subglacious,Red
200.07,Grab Opponent flag,Subglacious,Red
239.33,Return,Subglacious,Red
310.72,Drop Opponent flag,Homie,Blue
443.52,Grab Opponent flag,Beach,Red
453.88,Drop Opponent flag,Beach,Red
320.38,Return,Homie,Blue
288.2,Return,Subglacious,Red
301.03,Return,Subglacious,Red
318.47,Return,Subglacious,Red
332.42,Grab Opponent flag,Homie,Blue
338.37,Grab Opponent flag,Subglacious,Red
380.5,Return,Subglacious,Red
380.5,Drop Opponent flag,Subglacious,Red
388.45,Grab Opponent flag,Subglacious,Red
390.0,Drop Opponent flag,Subglacious,Red
405.2,Grab Opponent flag,Subglacious,Red
405.45,Drop Opponent flag,Subglacious,Red
413.57,Grab Opponent flag,Subglacious,Red
415.75,Drop Opponent flag,Subglacious,Red
432.1,Return,Subglacious,Red
440.58,Return,Subglacious,Red
459.55,Grab Opponent flag,Subglacious,Red
460.08,Drop Opponent flag,Subglacious,Red
477.75,Grab Opponent flag,Subglacious,Red
139.22,Return,Old Cob,Blue
368.9,Grab Opponent flag,Homie,Blue
311.18,Grab Opponent flag,Light,Red
146.78,Return,Old Cob,Blue
320.38,Drop Opponent flag,Light,Red
145.35,Grab Opponent flag,Jer32,Red
167.37,Return,Old Cob,Blue
157.1,Return,Jer32,Red
374.72,Drop Opponent flag,Homie,Blue
333.25,Grab Opponent flag,Light,Red
205.03,Grab Opponent flag,Jer32,Red
236.8,Drop Opponent flag,Jer32,Red
338.13,Capture Opponent flag,Light,Red
253.82,Return,Jer32,Red
289.8,Grab Opponent flag,Jer32,Red
324.55,Return,Jer32,Red
327.5,Return,Jer32,Red
340.02,Return,Jer32,Red
368.65,Return,Jer32,Red
384.97,Capture Opponent flag,Jer32,Red
397.42,Return,Jer32,Red
438.15,Grab Opponent flag,Homie,Blue
433.65,Grab Opponent flag,Jer32,Red
443.27,Drop Opponent flag,Jer32,Red
455.67,Return,Jer32,Red
459.03,Return,Jer32,Red
440.58,Drop Opponent flag,Homie,Blue
310.97,Grab Opponent flag,Old Cob,Blue
318.47,Drop Opponent flag,Old Cob,Blue
188.72,Grab Opponent flag,Homie,Blue
325.6,Grab Opponent flag,Old Cob,Blue
355.75,Grab Opponent flag,Old Cob,Blue
165.63,Grab Opponent flag,bubblez,Blue
459.28,Grab Opponent flag,Homie,Blue
417.73,Grab Opponent flag,Light,Red
368.65,Drop Opponent flag,Old Cob,Blue
417.98,Drop Opponent flag,Light,Red
377.57,Drop Opponent flag,Old Cob,Blue
390.77,Grab Opponent flag,Old Cob,Blue
426.65,Grab Opponent flag,Light,Red
253.83,Grab Opponent flag,bubblez,Blue
429.78,Capture Opponent flag,Light,Red
397.42,Drop Opponent flag,Old Cob,Blue
477.75,Grab Opponent flag,Homie,Blue
431.02,Grab Opponent flag,Old Cob,Blue
281.03,Return,bubblez,Blue
432.1,Drop Opponent flag,Old Cob,Blue
443.27,Return,Old Cob,Blue
453.88,Return,Old Cob,Blue
455.92,Grab Opponent flag,Old Cob,Blue
338.38,Grab Opponent flag,bubblez,Blue
459.03,Drop Opponent flag,Old Cob,Blue
380.5,Return,bubblez,Blue
472.9,Grab Opponent flag,Old Cob,Blue
477.5,Return,Old Cob,Blue
477.5,Drop Opponent flag,Old Cob,Blue
449.5,Return,Light,Red
405.45,Return,bubblez,Blue
467.72,Grab Opponent flag,Light,Red
417.98,Return,bubblez,Blue
477.5,Return,Light,Red
477.5,Drop Opponent flag,Light,Red
455.67,Drop Opponent flag,bubblez,Blue

BLUE START AND END EVENTS
Role,Time,Player,Team,Note
Start,63.60,Homie,Blue,
Start,7.75,Old Cob,Blue,
Start,93.92,bubblez,Blue,
Start,33.48,Old Cob,Blue,
Start,238.77,Old Cob,Blue,
Start,223.75,Homie,Blue,
Start,127.18,Homie,Blue,
Start,186.20,Old Cob,Blue,
Start,210.95,Old Cob,Blue,
Start,272.05,Old Cob,Blue,
Start,17.32,gl hf :),Blue,
Start,41.83,Old Cob,Blue,
Start,152.03,Old Cob,Blue,
Start,377.25,Old Cob,Blue,
Start,205.05,bubblez,Blue,
Start,288.45,bubblez,Blue,
Start,379.45,bubblez,Blue,
Start,450.27,bubblez,Blue,
Start,34.20,gl hf :),Blue,
Start,70.72,gl hf :),Blue,
Start,102.15,gl hf :),Blue,
Start,151.00,gl hf :),Blue,
Start,176.98,gl hf :),Blue,
Start,255.53,Homie,Blue,
Start,248.47,gl hf :),Blue,
Start,266.77,gl hf :),Blue,
Start,324.17,gl hf :),Blue,
Start,342.77,gl hf :),Blue,
Start,445.15,gl hf :),Blue,
Start,301.28,Homie,Blue,
Start,332.42,Homie,Blue,
Start,368.90,Homie,Blue,
Start,438.15,Homie,Blue,
Start,310.97,Old Cob,Blue,
Start,188.72,Homie,Blue,
Start,325.60,Old Cob,Blue,
Start,355.75,Old Cob,Blue,
Start,165.63,bubblez,Blue,
Start,459.28,Homie,Blue,
Start,390.77,Old Cob,Blue,
Start,253.83,bubblez,Blue,
Start,477.75,Homie,Blue,
Start,431.02,Old Cob,Blue,
Start,455.92,Old Cob,Blue,
Start,338.38,bubblez,Blue,
Start,472.90,Old Cob,Blue,
End,147.25,Homie,Blue,Drop Opponent flag
End,58.27,Old Cob,Blue,Drop Opponent flag
End,11.85,bubblez,Blue,Return
End,204.80,Homie,Blue,Capture Opponent flag
End,8.00,Old Cob,Blue,Drop Opponent flag
End,223.50,Old Cob,Blue,Drop Opponent flag
End,101.75,bubblez,Blue,Drop Opponent flag
End,176.73,bubblez,Blue,Drop Opponent flag
End,196.60,bubblez,Blue,Return
End,301.03,bubblez,Blue,Drop Opponent flag
End,17.73,gl hf :),Blue,Drop Opponent flag
End,151.72,Homie,Blue,Return
End,33.95,Old Cob,Blue,Drop Opponent flag
End,179.72,Old Cob,Blue,Return
End,188.42,Old Cob,Blue,Drop Opponent flag
End,239.33,Old Cob,Blue,Drop Opponent flag
End,59.12,bubblez,Blue,Return
End,210.13,bubblez,Blue,Drop Opponent flag
End,254.97,bubblez,Blue,Drop Opponent flag
End,340.02,bubblez,Blue,Drop Opponent flag
End,68.97,Homie,Blue,Drop Opponent flag
End,93.67,gl hf :),Blue,Drop Opponent flag
End,103.75,gl hf :),Blue,Drop Opponent flag
End,151.40,gl hf :),Blue,Drop Opponent flag
End,183.88,gl hf :),Blue,Drop Opponent flag
End,265.57,Homie,Blue,Return
End,265.57,Homie,Blue,Drop Opponent flag
End,89.00,Homie,Blue,Return
End,337.25,Homie,Blue,Drop Opponent flag
End,157.10,Old Cob,Blue,Drop Opponent flag
End,175.75,Old Cob,Blue,Return
End,236.80,Old Cob,Blue,Return
End,288.20,Old Cob,Blue,Drop Opponent flag
End,60.67,bubblez,Blue,Return
End,106.32,Homie,Blue,Return
End,119.10,bubblez,Blue,Return
End,327.50,Old Cob,Blue,Drop Opponent flag
End,310.92,bubblez,Blue,Return
End,380.50,bubblez,Blue,Drop Opponent flag
End,390.00,bubblez,Blue,Return
End,39.55,gl hf :),Blue,Drop Opponent flag
End,234.17,Homie,Blue,Drop Opponent flag
End,143.80,gl hf :),Blue,Return
End,162.60,gl hf :),Blue,Return
End,200.77,gl hf :),Blue,Return
End,253.82,gl hf :),Blue,Drop Opponent flag
End,271.80,gl hf :),Blue,Drop Opponent flag
End,324.55,gl hf :),Blue,Drop Opponent flag
End,351.50,gl hf :),Blue,Drop Opponent flag
End,415.75,gl hf :),Blue,Return
End,449.50,gl hf :),Blue,Drop Opponent flag
End,460.08,gl hf :),Blue,Return
End,310.72,Homie,Blue,Drop Opponent flag
End,320.38,Homie,Blue,Return
End,139.22,Old Cob,Blue,Return
End,146.78,Old Cob,Blue,Return
End,167.37,Old Cob,Blue,Return
End,374.72,Homie,Blue,Drop Opponent flag
End,440.58,Homie,Blue,Drop Opponent flag
End,318.47,Old Cob,Blue,Drop Opponent flag
End,368.65,Old Cob,Blue,Drop Opponent flag
End,377.57,Old Cob,Blue,Drop Opponent flag
End,397.42,Old Cob,Blue,Drop Opponent flag
End,281.03,bubblez,Blue,Return
End,432.10,Old Cob,Blue,Drop Opponent flag
End,443.27,Old Cob,Blue,Return
End,453.88,Old Cob,Blue,Return
End,459.03,Old Cob,Blue,Drop Opponent flag
End,380.50,bubblez,Blue,Return
End,477.50,Old Cob,Blue,Return
End,477.50,Old Cob,Blue,Drop Opponent flag
End,405.45,bubblez,Blue,Return
End,417.98,bubblez,Blue,Return
End,455.67,bubblez,Blue,Drop Opponent flag

RED START AND END EVENTS
Role,Time,Player,Team,Note
Start,58.82,Light,Red,
Start,125.93,Light,Red,
Start,158.13,Jer32,Red,
Start,114.43,Beach,Red,
Start,183.68,Light,Red,
Start,11.60,Light,Red,
Start,60.43,Beach,Red,
Start,162.85,Beach,Red,
Start,176.93,Beach,Red,
Start,237.05,Beach,Red,
Start,151.45,Light,Red,
Start,267.67,Subglacious,Red,
Start,65.73,Jer32,Red,
Start,380.88,Jer32,Red,
Start,321.58,Beach,Red,
Start,104.20,Subglacious,Red,
Start,143.57,Subglacious,Red,
Start,175.52,Subglacious,Red,
Start,200.07,Subglacious,Red,
Start,443.52,Beach,Red,
Start,338.37,Subglacious,Red,
Start,388.45,Subglacious,Red,
Start,405.20,Subglacious,Red,
Start,413.57,Subglacious,Red,
Start,459.55,Subglacious,Red,
Start,477.75,Subglacious,Red,
Start,311.18,Light,Red,
Start,145.35,Jer32,Red,
Start,333.25,Light,Red,
Start,205.03,Jer32,Red,
Start,289.80,Jer32,Red,
Start,433.65,Jer32,Red,
Start,417.73,Light,Red,
Start,426.65,Light,Red,
Start,467.72,Light,Red,
End,11.85,Light,Red,Drop Opponent flag
End,17.73,Beach,Red,Return
End,59.12,Light,Red,Drop Opponent flag
End,103.75,Light,Red,Return
End,39.55,Light,Red,Return
End,196.60,Light,Red,Drop Opponent flag
End,8.00,Jer32,Red,Return
End,89.00,Jer32,Red,Drop Opponent flag
End,58.27,Beach,Red,Return
End,60.67,Beach,Red,Drop Opponent flag
End,167.37,Beach,Red,Drop Opponent flag
End,179.72,Beach,Red,Drop Opponent flag
End,101.75,Light,Red,Return
End,93.67,Subglacious,Red,Return
End,106.32,Subglacious,Red,Drop Opponent flag
End,143.80,Subglacious,Red,Drop Opponent flag
End,175.75,Subglacious,Red,Drop Opponent flag
End,210.13,Subglacious,Red,Return
End,281.03,Subglacious,Red,Drop Opponent flag
End,33.95,Jer32,Red,Return
End,146.78,Jer32,Red,Drop Opponent flag
End,162.60,Jer32,Red,Drop Opponent flag
End,119.10,Beach,Red,Drop Opponent flag
End,265.57,Beach,Red,Return
End,265.57,Beach,Red,Drop Opponent flag
End,271.80,Beach,Red,Return
End,139.22,Light,Red,Drop Opponent flag
End,68.97,Subglacious,Red,Return
End,151.72,Light,Red,Drop Opponent flag
End,147.25,Subglacious,Red,Return
End,183.88,Subglacious,Red,Return
End,200.77,Subglacious,Red,Drop Opponent flag
End,223.50,Light,Red,Return
End,310.72,Subglacious,Red,Return
End,234.17,Light,Red,Return
End,254.97,Light,Red,Return
End,151.40,Jer32,Red,Return
End,176.73,Jer32,Red,Return
End,188.42,Jer32,Red,Return
End,310.92,Jer32,Red,Drop Opponent flag
End,325.38,Beach,Red,Capture Opponent flag
End,337.25,Beach,Red,Return
End,351.50,Beach,Red,Return
End,374.72,Beach,Red,Return
End,377.57,Beach,Red,Return
End,239.33,Subglacious,Red,Return
End,453.88,Beach,Red,Drop Opponent flag
End,288.20,Subglacious,Red,Return
End,301.03,Subglacious,Red,Return
End,318.47,Subglacious,Red,Return
End,380.50,Subglacious,Red,Return
End,380.50,Subglacious,Red,Drop Opponent flag
End,390.00,Subglacious,Red,Drop Opponent flag
End,405.45,Subglacious,Red,Drop Opponent flag
End,415.75,Subglacious,Red,Drop Opponent flag
End,432.10,Subglacious,Red,Return
End,440.58,Subglacious,Red,Return
End,460.08,Subglacious,Red,Drop Opponent flag
End,320.38,Light,Red,Drop Opponent flag
End,157.10,Jer32,Red,Return
End,236.80,Jer32,Red,Drop Opponent flag
End,338.13,Light,Red,Capture Opponent flag
End,253.82,Jer32,Red,Return
End,324.55,Jer32,Red,Return
End,327.50,Jer32,Red,Return
End,340.02,Jer32,Red,Return
End,368.65,Jer32,Red,Return
End,384.97,Jer32,Red,Capture Opponent flag
End,397.42,Jer32,Red,Return
End,443.27,Jer32,Red,Drop Opponent flag
End,455.67,Jer32,Red,Return
End,459.03,Jer32,Red,Return
End,417.98,Light,Red,Drop Opponent flag
End,429.78,Light,Red,Capture Opponent flag
End,449.50,Light,Red,Return
End,477.50,Light,Red,Return
End,477.50,Light,Red,Drop Opponent flag
