Time,Event,Player,Team
End,296.27,fender,Blue,Capture Opponent flag
End,91.07,ez,Blue,Return
End,159.95,ez,Blue,Capture Opponent flag
End,270.05,CreedBratton,Blue,Return
End,253.08,ez,Blue,Return
End,274.72,ez,Blue,Drop Opponent flag
End,288.52,CreedBratton,Blue,Return
End,289.47,ez,Blue,Capture Opponent flag

RED START AND END EVENTS
Role,Time,Player,Team,Note
Start,3.73,bubblez,Red,
Start,6.87,Sugar,Red,
Start,23.43,bubblez,Red,
Start,64.43,Sugar,Red,
Start,93.32,jmu,Red,
Start,166.88,Sugar,Red,
Start,144.50,bubblez,Red,
Start,206.78,bubblez,Red,
Start,252.57,bubblez,Red,
Start,268.82,bubblez,Red,
Start,4.52,FreeFalastin,Red,
Start,70.78,FreeFalastin,Red,
Start,48.33,Sugar,Red,
Start,88.13,Sugar,Red,
Start,108.65,Sugar,Red,
Start,136.82,Sugar,Red,
Start,176.17,Sugar,Red,
Start,195.30,Sugar,Red,
Start,59.30,jmu,Red,
Start,53.18,bubblez,Red,
Start,82.40,bubblez,Red,
Start,245.68,Sugar,Red,
Start,261.85,Sugar,Red,
Start,307.37,Sugar,Red,
Start,294.75,jmu,Red,
Start,125.50,bubblez,Red,
Start,34.53,FreeFalastin,Red,
Start,287.78,bubblez,Red,
Start,99.15,FreeFalastin,Red,
Start,149.10,jmu,Red,
Start,139.17,FreeFalastin,Red,
End,62.98,jmu,Red,Drop Opponent flag
End,41.37,jmu,Red,Return
End,97.42,jmu,Red,Drop Opponent flag
End,4.27,bubblez,Red,Drop Opponent flag
End,57.97,bubblez,Red,Drop Opponent flag
End,62.98,jmu,Red,Return
End,239.75,bubblez,Red,Drop Opponent flag
End,253.08,bubblez,Red,Drop Opponent flag
End,16.38,Sugar,Red,Drop Opponent flag
End,52.93,Sugar,Red,Drop Opponent flag
End,70.10,Sugar,Red,Drop Opponent flag
End,91.07,Sugar,Red,Drop Opponent flag
End,117.90,Sugar,Red,Drop Opponent flag
End,137.12,Sugar,Red,Drop Opponent flag
End,176.60,Sugar,Red,Drop Opponent flag
End,34.28,bubblez,Red,Return
End,34.28,bubblez,Red,Drop Opponent flag
End,57.97,bubblez,Red,Return
End,127.48,bubblez,Red,Drop Opponent flag
End,147.40,bubblez,Red,Drop Opponent flag
End,6.62,FreeFalastin,Red,Drop Opponent flag
End,46.77,FreeFalastin,Red,Drop Opponent flag
End,108.40,FreeFalastin,Red,Capture Opponent flag
End,70.10,Sugar,Red,Return
End,83.57,Sugar,Red,Return
End,91.07,Sugar,Red,Return
End,167.12,Sugar,Red,Drop Opponent flag
End,183.58,Sugar,Red,Return
End,206.53,Sugar,Red,Drop Opponent flag
End,235.98,Sugar,Red,Return
End,72.55,bubblez,Red,Return
End,108.15,bubblez,Red,Return
End,239.75,bubblez,Red,Return
End,74.37,FreeFalastin,Red,Capture Opponent flag
End,156.10,jmu,Red,Drop Opponent flag
End,170.32,jmu,Red,Return
End,263.95,Sugar,Red,Drop Opponent flag
End,274.72,jmu,Red,Return
End,87.05,bubblez,Red,Drop Opponent flag
End,294.98,jmu,Red,Drop Opponent flag
End,270.05,bubblez,Red,Drop Opponent flag
End,281.25,bubblez,Red,Return
End,288.52,bubblez,Red,Drop Opponent flag
End,143.82,FreeFalastin,Red,Drop Opponent flag
