Time,Event,Player,Team
End,237.58,JimBobCooter,Blue,Drop Opponent flag
End,265.43,JimBobCooter,Blue,Drop Opponent flag
End,287.68,JimBobCooter,Blue,Drop Opponent flag
End,353.25,JimBobCooter,Blue,Return
End,379.63,JimBobCooter,Blue,Drop Opponent flag
End,404.23,JimBobCooter,Blue,Drop Opponent flag
End,451.82,JimBobCooter,Blue,Drop Opponent flag
End,474.45,JimBobCooter,Blue,Return
End,291.08,LogisticMap,Blue,Drop Opponent flag
End,308.02,LogisticMap,Blue,Capture Opponent flag
End,361.63,LogisticMap,Blue,Return
End,162.45,LogisticMap,Blue,Return
End,373.33,LogisticMap,Blue,Return
End,162.45,LogisticMap,Blue,Drop Opponent flag
End,403.73,LogisticMap,Blue,Drop Opponent flag
End,416.35,LogisticMap,Blue,Return
End,437.52,LogisticMap,Blue,Drop Opponent flag
End,277.72,cantstop,Blue,Drop Opponent flag
End,296.50,cantstop,Blue,Drop Opponent flag
End,350.05,cantstop,Blue,Return
End,378.07,cantstop,Blue,Drop Opponent flag
End,385.78,cantstop,Blue,Return
End,461.25,LogisticMap,Blue,Drop Opponent flag
End,295.52,keithstoned1,Blue,Return
End,431.33,cantstop,Blue,Drop Opponent flag
End,309.72,keithstoned1,Blue,Return
End,458.75,cantstop,Blue,Return
End,373.42,keithstoned1,Blue,Return
End,484.27,cantstop,Blue,Return
End,396.35,keithstoned1,Blue,Return
End,411.18,keithstoned1,Blue,Return
End,436.88,keithstoned1,Blue,Return
End,493.43,keithstoned1,Blue,Drop Opponent flag

RED START AND END EVENTS
Role,Time,Player,Team,Note
Start,3.12,danp,Red,
Start,27.17,Jarek,Red,
Start,162.70,Jarek,Red,
Start,81.55,CreedBratton,Red,
Start,158.57,CreedBratton,Red,
Start,44.45,danp,Red,
Start,76.03,danp,Red,
Start,263.13,CreedBratton,Red,
Start,132.57,Jarek,Red,
Start,197.75,Jarek,Red,
Start,140.02,danp,Red,
Start,204.97,danp,Red,
Start,343.82,danp,Red,
Start,394.97,danp,Red,
Start,417.87,danp,Red,
Start,25.22,Chritt,Red,
Start,102.25,Chritt,Red,
Start,178.33,Chritt,Red,
Start,410.13,CreedBratton,Red,
Start,68.50,Jarek,Red,
Start,174.07,CreedBratton,Red,
Start,18.72,danp,Red,
Start,292.30,Jarek,Red,
Start,308.65,Jarek,Red,
Start,207.58,CreedBratton,Red,
Start,351.42,Jarek,Red,
Start,373.35,Jarek,Red,
Start,221.75,danp,Red,
Start,382.87,danp,Red,
Start,460.20,Jarek,Red,
Start,487.08,Jarek,Red,
Start,447.15,danp,Red,
Start,67.83,Chritt,Red,
Start,316.35,CreedBratton,Red,
Start,237.83,Chritt,Red,
Start,364.13,CreedBratton,Red,
Start,252.02,Chritt,Red,
Start,278.83,Chritt,Red,
Start,355.52,Chritt,Red,
Start,376.47,Chritt,Red,
Start,411.98,Chritt,Red,
Start,437.13,Chritt,Red,
Start,452.42,Chritt,Red,
Start,476.00,CreedBratton,Red,
End,19.33,danp,Red,Drop Opponent flag
End,102.00,CreedBratton,Red,Drop Opponent flag
End,5.58,danp,Red,Drop Opponent flag
End,119.08,danp,Red,Return
End,144.03,danp,Red,Drop Opponent flag
End,200.97,Jarek,Red,Drop Opponent flag
End,162.45,CreedBratton,Red,Drop Opponent flag
End,28.02,danp,Red,Return
End,81.30,danp,Red,Drop Opponent flag
End,135.72,danp,Red,Return
End,205.52,danp,Red,Drop Opponent flag
End,234.95,CreedBratton,Red,Return
End,70.55,Jarek,Red,Drop Opponent flag
End,138.17,Jarek,Red,Return
End,138.17,Jarek,Red,Drop Opponent flag
End,144.52,Jarek,Red,Return
End,171.65,Jarek,Red,Drop Opponent flag
End,162.45,CreedBratton,Red,Return
End,178.08,CreedBratton,Red,Drop Opponent flag
End,42.85,danp,Red,Return
End,44.68,danp,Red,Drop Opponent flag
End,90.65,danp,Red,Return
End,209.85,CreedBratton,Red,Drop Opponent flag
End,219.53,CreedBratton,Red,Return
End,165.00,danp,Red,Return
