Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against,Captures/8Min,Grabs/8Min,Hold/8Min,Drops/8Min,Pops/8Min,Returns/8Min,Tags/8Min,Prevent/8Min,Pups/8Min,Pups Available/8Min,Block/8Min,Button/8Min,Support/8Min,Hold Against/8Min,Long Holds/8Min,Flaccids/8Min,Handoffs/8Min,Good Handoffs/8Min,Captures off Handoffs/8Min,Quick Returns/8Min,Key Returns/8Min,Returns in Base/8Min,NDPops/8Min,NRTags/8Min,KF/8Min,CD/8Min
Tyler Durden,8.0,1,1,0,1.0,0,1,0,1,0.0,1.0,0.0,5.0,10.0,5.0,6.0,9.0,9.0,161.0,2.0,14.0,74.0,20.0,32.0,199.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,6.0,1.0,0.0,0.0,2.0,0.25,0.0,0.625,1.25,0.625,0.75,1.125,1.125,20.125,0.14285714285714285,0.14285714285714285,0.0,0.4,0.0,0.3333333333333333,0.6666666666666666,1.5,2.0,17.88888888888889,0.8090452261306532,0.0,5.0,10.0,5.0,6.0,9.0,9.0,161.0,2.0,14.0,74.0,20.0,32.0,199.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,6.0,1.0,0.0,0.0,2.0
joy.,8.0,1,0,1,0.0,0,1,0,0,0.0,0.0,0.0,8.0,37.0,8.0,10.0,12.0,12.0,69.0,2.0,14.0,65.0,0.0,26.0,270.0,1.0,5.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,-2.0,-0.25,0.0,1.0,4.625,1.0,1.25,1.5,1.5,8.625,0.14285714285714285,0.14285714285714285,0.0,0.625,0.0,0.3333333333333333,0.16666666666666666,1.2,4.625,5.75,0.25555555555555554,0.0,8.0,37.0,8.0,10.0,12.0,12.0,69.0,2.0,14.0,65.0,0.0,26.0,270.0,1.0,5.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,-2.0
bones,8.0,1,0,1,0.0,1,0,0,0,0.0,0.0,0.0,2.0,1.0,2.0,8.0,11.0,12.0,123.0,3.0,14.0,20.0,5.0,9.0,195.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,6.0,6.0,1.0,0.0,-2.0,-0.25,0.0,0.25,0.125,0.25,1.0,1.375,1.5,15.375,0.21428571428571427,0.21428571428571427,0.0,1.0,0.0,0.2727272727272727,0.5454545454545454,1.5,0.5,11.181818181818182,0.6307692307692307,0.0,2.0,1.0,2.0,8.0,11.0,12.0,123.0,3.0,14.0,20.0,5.0,9.0,195.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,6.0,6.0,1.0,0.0,-2.0
SmallyBigs,8.0,1,1,0,1.0,0,1,0,1,0.0,1.0,2.0,15.0,95.0,12.0,13.0,5.0,8.0,27.0,3.0,14.0,76.0,15.0,33.0,99.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,0.25,0.25,1.875,11.875,1.5,1.625,0.625,1.0,3.375,0.21428571428571427,0.21428571428571427,0.13333333333333333,0.2,0.0,0.6,0.6,0.6153846153846154,6.333333333333333,5.4,0.2727272727272727,2.0,15.0,95.0,12.0,13.0,5.0,8.0,27.0,3.0,14.0,76.0,15.0,33.0,99.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0
Ducky,8.0,1,0,1,0.0,1,0,0,0,0.0,0.0,1.0,8.0,34.0,7.0,13.0,1.0,1.0,49.0,0.0,14.0,77.0,20.0,34.0,262.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,-3.0,-0.375,0.125,1.0,4.25,0.875,1.625,0.125,0.125,6.125,0.0,0.0,0.125,0.375,0.125,1.0,1.0,0.07692307692307693,4.25,49.0,0.18702290076335878,1.0,8.0,34.0,7.0,13.0,1.0,1.0,49.0,0.0,14.0,77.0,20.0,34.0,262.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,-3.0
MoGGee,8.0,1,0,1,0.0,1,0,0,0,0.0,0.0,0.0,3.0,2.0,3.0,7.0,8.0,8.0,83.0,1.0,14.0,32.0,10.0,14.0,195.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,-2.0,-0.25,0.0,0.375,0.25,0.375,0.875,1.0,1.0,10.375,0.07142857142857142,0.07142857142857142,0.0,1.0,0.0,0.375,0.25,1.1428571428571428,0.6666666666666666,10.375,0.4256410256410256,0.0,3.0,2.0,3.0,7.0,8.0,8.0,83.0,1.0,14.0,32.0,10.0,14.0,195.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,-2.0
JSwan,8.0,1,0,1,0.0,0,1,0,0,0.0,0.0,1.0,14.0,72.0,13.0,15.0,7.0,9.0,27.0,0.0,14.0,128.0,0.0,50.0,221.0,1.0,7.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,0.0,-2.0,-0.25,0.125,1.75,9.0,1.625,1.875,0.875,1.125,3.375,0.0,0.0,0.07142857142857142,0.5,0.0,0.2857142857142857,0.42857142857142855,0.6,5.142857142857143,3.857142857142857,0.12217194570135746,1.0,14.0,72.0,13.0,15.0,7.0,9.0,27.0,0.0,14.0,128.0,0.0,50.0,221.0,1.0,7.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,0.0,-2.0
LOWTIERBALL,8.0,1,1,0,1.0,1,0,1,0,1.0,0.0,1.0,10.0,43.0,8.0,10.0,10.0,10.0,91.0,4.0,14.0,55.0,0.0,22.0,205.0,0.0,3.0,2.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0,1.0,2.0,0.25,0.125,1.25,5.375,1.0,1.25,1.25,1.25,11.375,0.2857142857142857,0.2857142857142857,0.1,0.3,0.0,0.4,0.3,1.0,4.3,9.1,0.44390243902439025,1.0,10.0,43.0,8.0,10.0,10.0,10.0,91.0,4.0,14.0,55.0,0.0,22.0,205.0,0.0,3.0,2.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0,1.0,2.0
deku,8.0,1,1,0,1.0,0,1,0,1,0.0,1.0,1.0,6.0,32.0,5.0,7.0,15.0,15.0,113.0,2.0,14.0,56.0,15.0,25.0,250.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,9.0,2.0,0.0,0.0,4.0,0.5,0.125,0.75,4.0,0.625,0.875,1.875,1.875,14.125,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.0,0.4,0.6,2.142857142857143,5.333333333333333,7.533333333333333,0.452,1.0,6.0,32.0,5.0,7.0,15.0,15.0,113.0,2.0,14.0,56.0,15.0,25.0,250.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,9.0,2.0,0.0,0.0,4.0
SphinctrSlyr,8.0,1,1,0,1.0,0,1,0,1,0.0,1.0,1.0,11.0,64.0,10.0,11.0,9.0,12.0,54.0,3.0,14.0,86.0,0.0,34.0,268.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,0.25,0.125,1.375,8.0,1.25,1.375,1.125,1.5,6.75,0.21428571428571427,0.21428571428571427,0.09090909090909091,0.2727272727272727,0.0,0.2222222222222222,0.2222222222222222,1.0909090909090908,5.818181818181818,6.0,0.20149253731343283,1.0,11.0,64.0,10.0,11.0,9.0,12.0,54.0,3.0,14.0,86.0,0.0,34.0,268.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0
